Time,Time Code,Country Name,Country Code,"Agriculture, forestry, and fishing, value added (% of GDP) [NV.AGR.TOTL.ZS]","Annual freshwater withdrawals, total (% of internal resources) [ER.H2O.FWTL.ZS]",CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],Forest area (sq. km) [AG.LND.FRST.K2],Terrestrial and marine protected areas (% of total territorial area) [ER.PTD.TOTL.ZS],Urban population growth (annual %)
2018,YR2018,Qatar,QAT,0.218257646,446.4285714,31.23540631,0,4.72319542,2.06458951
2018,YR2018,Romania,ROU,4.564559454,15.13921661,3.86105157,69290.5,24.30993665,-0.47260827
2018,YR2018,Rwanda,RWA,24.61187117,6.053981005,0.102938057,2740,9.114089073,2.935928106
2018,YR2018,Samoa,WSM,9.147660338,..,1.382921358,1626.3,0.242263365,-0.146275232
2018,YR2018,San Marino,SMR,0.016406698,..,..,10,..,0.452707962
2018,YR2018,Sao Tome and Principe,STP,11.39674577,1.876146789,0.662427136,531.4,0.244688365,2.73153907
2018,YR2018,Senegal,SEN,14.98824785,11.72790698,0.653615395,81481.6,14.57707227,3.677054615
2018,YR2018,Serbia,SRB,6.342783371,66.10562626,6.606418045,27220,6.61310734,-0.278572237
2018,YR2018,Seychelles,SYC,2.60511622,..,5.994088416,337,0.051368668,1.715478237
2018,YR2018,Sierra Leone,SLE,58.93440965,0.132625,0.109396931,25743.4,3.296949796,3.366031029
2018,YR2018,Singapore,SGP,0.030128117,81.38333333,8.406228967,159.3,2.463062829,0.469704299
2018,YR2018,Sint Maarten (Dutch part),SXM,..,..,..,3.7,8.098450743,0.788033881
2018,YR2018,Slovak Republic,SVK,2.145052112,4.416666667,6.058635474,19259,37.63041334,0.091966227
2018,YR2018,Slovenia,SVN,2.245374796,5.147295126,6.784338879,12419,55.07325819,0.855189456
2018,YR2018,Solomon Islands,SLB,33.96875559,..,0.546075935,25244.3,0.155319976,4.36563015
2018,YR2018,Somalia,SOM,..,54.96666667,0.042826293,61335,..,4.911172118
2018,YR2018,South Africa,ZAF,2.266088718,44.30803571,7.575039606,171228.9,10.26064859,1.989499664
2018,YR2018,South Sudan,SSD,..,2.530769231,0.149105425,71570,15.50150125,-1.116621664
2018,YR2018,Sri Lanka,LKA,7.592063951,24.51893939,1.00092296,21193.4,3.378642523,1.547574095
2018,YR2018,St. Kitts and Nevis,KNA,0.911041869,50.83333333,5.234396265,110,0.250803474,-0.040810775
2018,YR2018,St. Lucia,LCA,1.634823895,14.3,2.979402609,207.7,0.931020062,0.761332983
2018,YR2018,St. Martin (French part),MAF,..,..,..,12.4,91.98700719,..
2018,YR2018,St. Vincent and the Grenadines,VCT,7.109393484,7.9,2.374597506,285.4,0.466562637,0.543737427
2018,YR2018,Sudan,SDN,21.99347316,673.375,0.496677809,187038.7,2.753273898,3.979758849
2018,YR2018,Suriname,SUR,10.03296998,0.622121212,3.722324749,152207.8,8.483073684,1.070965509
2018,YR2018,Sweden,SWE,1.392786621,1.388888889,3.538991742,279800,14.96694693,1.488150675
2018,YR2018,Syrian Arab Republic,SYR,39.00988119,195.7992148,1.416714605,5220.8,0.662806451,3.057177383
2018,YR2018,Tajikistan,TJK,19.77196478,15.40182792,0.950906528,4218,22.27866109,2.806342959
2018,YR2018,Tanzania,TZA,27.86859954,6.171428571,0.206574427,466830,30.97032961,5.353053234
2018,YR2018,Thailand,THA,8.201819262,25.52536635,3.613917211,199450,12.50975812,1.834209097
2018,YR2018,Timor-Leste,TLS,17.68159575,14.26658551,0.483419132,9239,4.42304454,2.690019618
2018,YR2018,Togo,TGO,20.44048838,1.939130435,0.287074946,12151.9,21.79109259,3.742365401
2018,YR2018,Tonga,TON,17.07230205,..,1.521635724,89.5,1.521651403,-0.418496487
2018,YR2018,Trinidad and Tobago,TTO,1.027005304,8.755208333,11.81623868,2290.3,2.014423161,1.710358986
2018,YR2018,Tunisia,TUN,9.888525519,90.12443385,2.504809913,6996.7,5.2085994,1.464674213
2018,YR2018,Turkmenistan,TKM,11.04156884,1983.274021,12.04438716,41270,3.212238456,2.46343956
2018,YR2018,Turks and Caicos Islands,TCA,0.390862917,..,..,105.2,0.387451664,4.344253713
2018,YR2018,Tuvalu,TUV,..,..,0.920386542,10,0.008594042,1.726233341
2018,YR2018,Uganda,UGA,23.25029354,1.633333333,0.14115246,24204.1,16.06394963,5.862543635
2018,YR2018,Ukraine,UKR,10.13953311,19.42831216,4.159783074,96780,3.881679021,-0.313465038
2018,YR2018,United Arab Emirates,ARE,0.711464,1714.666667,19.37819696,3173,15.04389477,1.106633947
2018,YR2018,Uruguay,URY,5.831527578,3.969631236,1.908351273,19890,2.295077127,0.240039132
2018,YR2018,Uzbekistan,UZB,26.76078031,360.4895961,3.412721809,36379.8,3.375213715,1.594452492
2018,YR2018,Vanuatu,VUT,21.21918787,..,0.706361945,4423,0.090716741,2.842833777
2018,YR2018,"Venezuela, RB",VEN,..,2.810074534,4.430079197,463377.6,36.90255244,-2.415196646
2018,YR2018,Vietnam,VNM,12.30667472,22.77613934,3.009029365,144912.9,2.929506921,2.917947127
2018,YR2018,Virgin Islands (U.S.),VIR,..,..,..,196.1,0.983624337,-0.138546069
2018,YR2018,West Bank and Gaza,PSE,7.359645135,36.908867,..,101.4,..,2.888118685
2018,YR2018,"Yemen, Rep.",YEM,17.18312667,169.7619048,0.31568166,5490,0.605801444,4.209541496
2018,YR2018,Zambia,ZMB,3.341123992,1.960099751,0.433395739,451904.6,37.87001045,4.322059676
2018,YR2018,Zimbabwe,ZWE,7.319375146,30.76166395,0.822472016,175367.2,27.21458518,1.933653001
2018,YR2018,Africa Eastern and Southern,AFE,11.92210347,4.928115312,0.908093518,4544314.78,14.97443208,4.107634202
2018,YR2018,Africa Western and Central,AFW,20.95319756,1.687728398,0.47830457,1807898.6,14.19842267,4.029438511
2018,YR2018,Arab World,ARB,4.531202712,196.0534147,4.246680843,372634.1,4.589170669,2.547957898
2018,YR2018,Caribbean small states,CSS,4.194912375,1.083722724,5.137870978,364223.4,7.240066459,1.142346267
2018,YR2018,Central Europe and the Baltics,CEB,2.834009432,12.86329111,6.568852985,381258,28.2083991,-0.059628692
2018,YR2018,Early-demographic dividend,EAR,10.37393927,15.6904873,2.247948795,7632988.4,10.41797948,2.181136664
2018,YR2018,East Asia & Pacific,EAS,5.394707745,12.30892241,6.398911291,6625321.5,17.89103578,2.09488271
2018,YR2018,East Asia & Pacific (excluding high income),EAP,7.73725867,12.6717039,5.803674518,4859939.3,12.29380892,2.426319799
2018,YR2018,East Asia & Pacific (IDA & IBRD countries),TEA,7.72339786,12.66976693,5.851209678,4799041.9,12.37598587,2.448770909
2018,YR2018,Euro area,EMU,1.51183228,15.37716713,6.435645269,1033420,22.4939754,0.531420997
2018,YR2018,Europe & Central Asia,ECS,1.952020215,6.943960563,6.736416246,10562160.26,9.431930183,0.590995771
2018,YR2018,Europe & Central Asia (excluding high income),ECA,5.196342068,5.928626518,7.351726877,8845392.462,6.767063237,0.660011723
2018,YR2018,Europe & Central Asia (IDA & IBRD countries),TEC,4.722594173,6.099478257,7.244518062,9028614.062,7.414127189,0.556407728
2018,YR2018,European Union,EUU,1.616442704,13.77011218,6.403295263,1588671.1,22.92901842,0.459116484
2018,YR2018,Fragile and conflict affected situations,FCS,16.63690766,4.464775807,0.771002029,4761089.18,11.6310835,3.054120684
2018,YR2018,Heavily indebted poor countries (HIPC),HPC,21.80304942,2.823368177,0.280627731,5324413.28,14.96578037,4.231327295
2018,YR2018,High income,HIC,1.259471354,9.092547374,10.12438028,10319900.3,19.07307642,0.715025105
2018,YR2018,IBRD only,IBD,7.531502329,9.682522968,4.398494591,24136296.66,12.66369185,1.979216402
2018,YR2018,IDA & IBRD total,IBT,8.40496629,9.253691559,3.407282337,30614171.74,12.72632928,2.289694985
2018,YR2018,IDA blend,IDB,20.4777807,16.56333035,0.835724437,1311097.8,12.26476252,3.206213641
2018,YR2018,IDA only,IDX,19.78314546,4.612942196,0.377399628,5166777.28,13.05019983,3.925743891
2018,YR2018,IDA total,IDA,20.10596322,7.545207292,0.531735137,6477875.08,12.9097392,3.648524783
2018,YR2018,Late-demographic dividend,LTE,6.037966704,6.075368,6.597812977,17587197.86,13.97965276,1.949125466
2018,YR2018,Latin America & Caribbean,LCN,5.454920516,2.979777389,2.611409441,9369198.6,21.74314784,1.216668214
2018,YR2018,Latin America & Caribbean (excluding high income),LAC,4.839087369,2.507203245,2.403438677,8650831.1,21.05935144,1.442370606
2018,YR2018,Latin America & the Caribbean (IDA & IBRD countries),TLA,5.609635618,2.93236529,2.588687282,9326176.9,21.84240432,1.271403028
2018,YR2018,Least developed countries: UN classification,LDC,19.14445188,4.370405903,0.332683989,5429317.18,12.78099541,4.094167251
2018,YR2018,Low & middle income,LMY,8.510870532,9.463904936,3.359939516,29816266.14,12.26574701,2.34987596
2018,YR2018,Low income,LIC,22.46303162,4.558709275,0.285320409,3547535.88,13.86093184,4.128761738
2018,YR2018,Lower middle income,LMC,14.83853428,18.46108388,1.730165935,6312992.3,10.41497363,2.550079525
2018,YR2018,Middle East & North Africa,MEA,4.585282117,123.0565628,5.402336731,229360.3,5.690398451,2.279645281
2018,YR2018,Middle East & North Africa (excluding high income),MNA,9.404123677,112.7642466,3.693564073,214917.6,6.018464185,2.23312656
2018,YR2018,Middle East & North Africa (IDA & IBRD countries),TMN,9.42833355,113.0381755,3.696182974,214816.2,6.018464185,2.223117293
